FP,Balanced Bagging Classifier,Weighted XGBoost,Weighted Decision Tree Classifier,Weighted Logistic Regression
"{'0.0<Q1781_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q1781_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q1781_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q1781_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q1781_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q1781_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q1781_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '0.0<Q1781_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q1781_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q1781_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q1781_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q1781_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '0.0<LASTDAY_2<2.0', '1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'1.0<YEAR_2<2.0', '0.0<CONVERS_2<2.0', '0.0<Q75_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<MONEY_2<2.0', '0.0<LASTDAY_2<2.0', '0.0<Q1781_2<2.0', '0.0<Q72_2<2.0', '1.0<SEASON_2<2.0'}",0.15714285714285714,0.07857142857142857,0.16428571428571428,0.7785714285714286
"{'0.0<REASON_2<2.0', '1.0<YEAR_2<2.0', '0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '1.0<SEASON_2<2.0'}",0.15217391304347827,0.07246376811594203,0.15942028985507245,0.782608695652174
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<REASON_2<2.0', '0.0<CONVERS_2<2.0', '1.0<YEAR_2<2.0', '1.0<SEASON_2<2.0'}",0.15217391304347827,0.07246376811594203,0.15942028985507245,0.782608695652174
"{'0.0<PUT_2<1.0', '0.0<Q401_2<1.0', '0.0<REASON_2<2.0', '0.0<MONEY_2<2.0', '1.0<YEAR_2<2.0', '1.0<SEASON_2<2.0'}",0.15217391304347827,0.07246376811594203,0.15942028985507245,0.782608695652174
